10³		10⁴		10⁵		10⁶		10⁷
0.000206	0.000024	0.000045	0.000192	0.002047	
0.000017	0.000024	0.000058	0.000198	0.002031	
0.000019	0.000023	0.000047	0.000196	0.001959	
0.000019	0.000089	0.000044	0.000233	0.002465	
0.000015	0.000029	0.000050	0.000218	0.002087	
0.000030	0.000035	0.000147	0.000233	0.002711	
0.000083	0.000023	0.000046	0.000212	0.007534	
0.000023	0.000024	0.000055	0.000387	0.005510	
0.000086	0.000166	0.000146	0.000289	0.002035	
0.000018	0.000089	0.001468	0.002573	0.002295	
0.000022	0.000024	0.000044	0.000239	0.018575	
0.000039	0.000038	0.000046	0.000251	0.002073	
0.000030	0.000025	0.000266	0.005679	0.001914	
0.000049	0.000089	0.000144	0.000284	0.003015	
0.000021	0.000024	0.000042	0.000239	0.001985	
0.000021	0.000028	0.000041	0.002814	0.001971	
0.000017	0.000019	0.000125	0.000217	0.001945	
0.000027	0.000027	0.000039	0.000257	0.001946	
0.000019	0.000024	0.000048	0.000307	0.003740	
0.000058	0.000092	0.000140	0.003740	0.001971	
0.000017	0.000023	0.000180	0.000428	0.002927	
0.000018	0.000024	0.000046	0.000233	0.024564	
0.000083	0.000531	0.000058	0.000192	0.001911	
0.000017	0.000024	0.000045	0.000231	0.006653	
0.000021	0.000021	0.000041	0.000273	0.002395	
0.000021	0.000307	0.000039	0.000203	0.002089	
0.000018	0.000199	0.000046	0.000200	0.001899	
0.000021	0.000024	0.000045	0.000236	0.002074	
0.000017	0.000019	0.001519	0.000183	0.001937	
0.000022	0.000032	0.000142	0.000244	0.002025	
0.000019	0.000025	0.000225	0.003122	0.004223	
0.000021	0.000024	0.000044	0.000202	0.002335	
0.000023	0.000026	0.000051	0.001362	0.002022	
0.000051	0.000022	0.000111	0.000218	0.005857	
0.000020	0.000088	0.000142	0.000366	0.003676	
0.000084	0.000037	0.000113	0.000247	0.051868	
0.000017	0.000024	0.000040	0.000431	0.002011	
0.000018	0.000236	0.001445	0.000267	0.016788	
0.000022	0.000025	0.000046	0.000236	0.001803	
0.000022	0.000024	0.000150	0.000219	0.003001	
0.000021	0.000125	0.001415	0.000193	0.002213	
0.000082	0.000461	0.001569	0.005147	0.020893	
0.000021	0.000023	0.000829	0.000293	0.014389	
0.000447	0.000023	0.000046	0.000225	0.002733	
0.000032	0.000028	0.000114	0.000220	0.002331	
0.000021	0.000020	0.000043	0.000197	0.001871	
0.000022	0.000277	0.000045	0.000666	0.012214	
0.000024	0.000022	0.000047	0.000206	0.002415	
0.000021	0.000121	0.001112	0.000220	0.002244	
0.000020	0.000076	0.000218	0.000209	0.037280	
0.000307	0.000024	0.000049	0.000205	0.002046	
0.000031	0.000024	0.000048	0.000385	0.021871	
0.000018	0.000049	0.000063	0.007010	0.002082	
0.000399	0.000395	0.001470	0.001687	0.002279	
0.000023	0.000023	0.000153	0.001174	0.002184	
0.000019	0.000026	0.000043	0.000243	0.001901	
0.000023	0.000021	0.000041	0.000205	0.002486	
0.000020	0.000484	0.000071	0.000227	0.017692	
0.000121	0.000084	0.000048	0.000209	0.003741	
0.000015	0.000027	0.000140	0.001073	0.001908	
0.000128	0.000126	0.000082	0.000198	0.001951	
0.000021	0.000027	0.000067	0.000371	0.002102	
0.000021	0.000086	0.000267	0.000218	0.002264	
0.000017	0.000097	0.001147	0.000264	0.009052	
0.000022	0.000025	0.000045	0.000240	0.023101	
0.000020	0.000025	0.000050	0.000268	0.002162	
0.000021	0.000027	0.000046	0.000258	0.002018	
0.000023	0.000133	0.000114	0.000238	0.002030	
0.000021	0.000024	0.000041	0.000237	0.002057	
0.000021	0.000032	0.000046	0.000309	0.002012	
0.000018	0.000022	0.000043	0.000260	0.001924	
0.000021	0.000024	0.000081	0.000200	0.021123	
0.000156	0.000028	0.000051	0.000233	0.001896	
0.000022	0.000060	0.000044	0.000201	0.001999	
0.000025	0.000029	0.001476	0.003894	0.001972	
0.000022	0.000023	0.000438	0.000210	0.013858	
0.000020	0.000023	0.000051	0.000223	0.010700	
0.000050	0.000086	0.000128	0.000347	0.001980	
0.000019	0.000123	0.001608	0.000227	0.007245	
0.000016	0.000025	0.000046	0.000234	0.002057	
0.000167	0.000088	0.001178	0.003918	0.001952	
0.000025	0.000022	0.000050	0.000202	0.002030	
0.000023	0.000169	0.000134	0.000235	0.005281	
0.000087	0.000049	0.000142	0.000432	0.002028	
0.000021	0.000021	0.000044	0.003889	0.008394	
0.000247	0.000021	0.000044	0.006614	0.002293	
0.000347	0.000021	0.001383	0.000456	0.002469	
0.000087	0.000241	0.001210	0.000629	0.002078	
0.000018	0.000021	0.000049	0.000353	0.008214	
0.000120	0.000379	0.000107	0.003563	0.008405	
0.000023	0.000033	0.000048	0.000212	0.002247	
0.000019	0.000024	0.000146	0.000200	0.001961	
0.000020	0.000024	0.000044	0.000201	0.003240	
0.000022	0.000028	0.000044	0.000209	0.002070	
0.000073	0.000092	0.000283	0.000214	0.001901	
0.000088	0.000458	0.000043	0.000197	0.002020	
0.000018	0.000021	0.000040	0.000213	0.002151	
0.000018	0.000088	0.001445	0.000236	0.002348	
0.000022	0.000025	0.000052	0.002178	0.001953	
0.000282	0.000025	0.000043	0.000225	0.002076	
